Period,Canada,Newfoundland and Labrador,Prince Edward Island,Nova Scotia,New Brunswick,Quebec,Ontario,Manitoba,Saskatchewan,Alberta,British Columbia,Average CPI,%CHG CPI
1972-1973,534.0,500.0,550.0,663.0,601.0,508.0,592.0,434.0,427.0,415.0,465.0,21.9,4.8
1973-1974,534.0,500.0,550.0,664.0,581.0,519.0,595.0,434.0,479.0,415.0,442.0,23.6,7.8
1974-1975,547.0,500.0,600.0,667.0,590.0,544.0,605.0,435.0,480.0,415.0,441.0,26.2,11.0
1975-1976,551.0,500.0,600.0,689.0,653.0,532.0,610.0,435.0,479.0,415.0,442.0,29,10.7
1976-1977,564.0,500.0,600.0,714.0,723.0,511.0,602.0,463.0,533.0,519.0,442.0,31.1,7.2
1977-1978,617.0,607.0,692.0,731.0,709.0,514.0,700.0,471.0,587.0,521.0,520.0,33.6,8.0
1978-1979,627.0,636.0,765.0,777.0,746.0,508.0,702.0,573.0,641.0,574.0,561.0,36.6,8.9
1979-1980,642.0,635.0,807.0,843.0,777.0,491.0,740.0,609.0,673.0,576.0,545.0,40,9.3
1980-1981,702.0,639.0,876.0,907.0,830.0,503.0,832.0,660.0,713.0,635.0,617.0,44,10.0
1981-1982,763.0,699.0,961.0,994.0,935.0,512.0,926.0,715.0,768.0,635.0,704.0,49.5,12.5
1982-1983,863.0,850.0,1134.0,1147.0,1102.0,504.0,1068.0,712.0,841.0,759.0,909.0,54.9,10.9
1983-1984,908.0,892.0,1220.0,1326.0,1196.0,503.0,1111.0,827.0,899.0,802.0,989.0,58.1,5.8
1984-1985,977.0,936.0,1288.0,1428.0,1283.0,503.0,1176.0,907.0,982.0,856.0,1297.0,60.6,4.3
1985-1986,1019.0,1006.0,1371.0,1486.0,1375.0,503.0,1235.0,978.0,1062.0,885.0,1431.0,63,4.0
1986-1987,1063.0,1056.0,1497.0,1549.0,1507.0,506.0,1296.0,1068.0,1123.0,909.0,1488.0,65.6,4.1
1987-1988,1137.0,1108.0,1582.0,1622.0,1600.0,505.0,1372.0,1176.0,1238.0,1019.0,1647.0,68.5,4.4
1988-1989,1185.0,1164.0,1663.0,1699.0,1712.0,519.0,1443.0,1272.0,1334.0,1049.0,1610.0,71.2,3.9
1989-1990,1271.0,1280.0,1744.0,1804.0,1804.0,519.0,1561.0,1394.0,1405.0,1127.0,1724.0,74.8,5.1
1990-1991,1464.0,1344.0,1874.0,1941.0,1925.0,904.0,1680.0,1512.0,1545.0,1286.0,1808.0,78.4,4.8
1991-1992,1706.0,1544.0,2141.0,2232.0,2046.0,1311.0,1818.0,1848.0,1859.0,1544.0,1970.0,82.8,5.6
1992-1993,1872.0,1700.0,2298.0,2446.0,2265.0,1458.0,1942.0,2160.0,2129.0,1831.0,2128.0,84,1.4
1993-1994,2023.0,2000.0,2509.0,2701.0,2385.0,1550.0,2076.0,2272.0,2341.0,2209.0,2240.0,85.6,1.9
1994-1995,2221.0,2150.0,2647.0,2975.0,2390.0,1704.0,2286.0,2393.0,2544.0,2475.0,2434.0,85.7,0.1
1995-1996,2384.0,2312.0,2846.0,3249.0,2534.0,1703.0,2518.0,2520.0,2680.0,2744.0,2563.0,87.6,2.2
1996-1997,2648.0,2702.0,2948.0,3597.0,2795.0,1705.0,2992.0,2689.0,2726.0,2975.0,2577.0,88.9,1.5
1997-1998,2869.0,3211.0,3162.0,3892.0,3026.0,1804.0,3293.0,2921.0,3074.0,3241.0,2518.0,90.4,1.7
1998-1999,3064.0,3216.0,3327.0,4074.0,3225.0,1804.0,3640.0,3149.0,3279.0,3519.0,2525.0,91.3,1.0
1999-2000,3328.0,3373.0,3499.0,4262.0,3350.0,1813.0,4084.0,3488.0,3367.0,3723.0,2568.0,92.9,1.8
